upc,title,category,price_net,price_gross,tax,rating,number_of_reviews,availability
3c346ab1e76ae1f6,Obsidian (Lux #1),,£14.86,£16.49,£1.63,2,29,16.0
784bc2279baa878d,My Paris Kitchen: Recipes and Stories,,,£37.37,£4.0,2,2,
fa9610a50a1bf149,Masks and Shadows,Fantasy,£56.40,£60.91,£4.51,2,37,
72f9d5be3472d34e,,Food and Drink,£14.02,£15.0,£0.98,4,41,16.0
,,,,£50.19,£3.28,2,9,16.0
b6ee99bcf06fc91f,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,£45.61,£45.61,£0.0,3,19,16.0
57e5a4d515c8ce44,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,,£21.71,£1.79,2,6,
7b75cc7f223791f4,"Layered: Baking, Building, and Styling Spectacular Cakes",Food and Drink,£40.11,£45.32,£5.21,1,1,16.0
228f74b74f3a08ae,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Add a comment,,£57.13,£3.23,2,37,
,oJin,,£35.67,£36.74,£1.07,5,13,16.0
b136b1b180ca753a,In the Country We Love: My Family Divided,Nonfiction,£22.00,£24.2,£2.2,4,41,16.0
e4f74c16de34d440,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Science,£57.36,£65.39,£8.03,5,3,16.0
8d4eefad7a2b3915,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,£29.17,£30.34,£1.17,2,11,
1c89ae5bb804e4de,,Sequential Art,£54.63,£58.45,£3.82,3,35,16.0
a6f99b9e687f9d46,How to Be Miserable: 40 Strategies You Already Use,Self Help,£46.03,£48.33,£2.3,1,32,16.0
2a97cffe61c3c4c7,Her Backup Boyfriend (The Sorensen Family #1),Romance,£33.97,£38.39,£4.42,1,36,16.0
f2df3bb043a8abb0,"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,£22.11,£22.11,£0.0,2,44,
,Forever an Forever :TheCojrthp of Henry Longfelow anc Fnyn Appleton,,£29.69,£32.66,£2.97,3,8,16.0
,First and Firsy (Fvie goroyughs #3),,£15.97,£18.21,£2.24,4,45,16.0
,Fifty ShafdesD arjwr (Fifty Shwdex #2),,£21.96,£23.28,£1.32,1,8,16.0
311c0dd0e354a33e,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Nonfiction,,£55.98,£1.63,2,16,16.0
,,,,£39.87,£1.9,2,24,16.0
09b6cc87e62c2c58,Danganronpa Volume 1,,,£58.23,£6.24,4,43,16.0
,,Fantasy,£43.29,£45.89,£2.6,3,9,16.0
8754c83ab2a7ae71,"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,£36.72,£39.66,£2.94,4,36,16.0
7b599c8bfcdd8d30,Camp Midnight,Sequential Art,,£18.1,£1.02,4,38,
bee3672891cca906,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,,£29.14,£32.05,£2.91,5,25,16.0
,nBurning,,£28.81,£31.69,£2.88,3,0,16.0
74baabfc8fd84b38,Bossypants,Default,£49.46,£50.94,£1.48,2,43,16.0
bdf415fd484ea8a7,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Sequential Art,£37.92,£41.33,£3.41,2,4,
6d5300b2d8f37e07,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",,£28.09,£30.62,£2.53,2,25,16.0
,Algoritmhst oL ive By: The Colmuter Scenceof umn Decisionxs,,£30.81,£34.51,£3.7,1,27,16.0
,A Wiird of Flsvor :Your Gluten Free Passpr,,,£45.53,£2.58,1,24,
8a380641491d43ed,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Default,£56.76,£59.03,£2.27,5,0,16.0
,,,£16.64,£18.14,£1.5,1,10,16.0
3a6fb983e2554023,A Flight of Arrows (The Pathfinders #2),,,£61.64,£6.11,5,1,
, AFiec end Subtle Poison,,,£29.82,£1.69,4,1,16.0
01d2001ac1e6f8a3,A Court of Thorns and Roses (A Court of Thorns and Roses #1),Fantasy,£52.37,£56.04,£3.67,1,32,
e4ac92d89b946781,(Un)Qualified: How God Uses Broken People to Do Big Things,Christian,£54.00,£61.56,£7.56,5,22,
796c87ddbbaaf8c5,,Religion,,£24.06,£2.19,4,15,15.0
9270575728a13a61,,Science Fiction,£43.30,£45.46,£2.16,4,20,15.0
b8736690cf263a3c,Tuesday Nights in 1980,Fiction,£21.04,£24.2,£3.16,2,38,15.0
,Tracjn Numbers n a Trai,,£41.60,£46.59,£4.99,3,3,15.0
,Thrlonse of Glawss (Thore of ylass 1#),,£35.07,£35.77,£0.7,3,4,15.0
de3f25248ba0789f,,History,£59.64,£60.24,£0.6,1,48,15.0
bc2a85fd35fdc7bd,Thirteen Reasons Why,,,£57.46,£4.74,1,49,15.0
,hTe aite vCat an edhte Mohnk: A Rteelling of the Poem “Pangu rBná”,,£58.08,£59.82,£1.74,4,20,15.0
,The Wedring Dress,,£24.12,£24.84,£0.72,1,27,
fd3a622648667296,,Fiction,,£42.57,£0.42,4,46,15.0
3bebf34ee9330cbd,,Business,£12.61,£12.99,£0.38,5,47,15.0
f5a92cff83897d48,The Stranger,Philosophy,,£17.96,£0.52,4,32,
d6361d16212664ed,The Shadow Hero (The Shadow Hero),Sequential Art,£33.14,£35.13,£1.99,1,4,15.0
961f18db4f138211,The Secret (The Secret #1),,,£27.64,£0.27,4,39,
0651062381f0636a,The Regional Office Is Under Attack!,Fiction,£51.36,£54.96,£3.6,5,35,15.0
,The Psychoalpht Test s Journe Trough te Madneas ndustry,,£36.00,£37.8,£1.8,2,44,15.0
790ef197c8f236f5,The Project,Science Fiction,£10.65,£11.29,£0.64,1,0,15.0
8ec14b1576cb7cb5,,,£43.54,£44.41,£0.87,2,20,
209adad1015af86f,The Omnivore's Dilemma: A Natural History of Four Meals,,£38.21,£41.27,£3.06,2,0,15.0
e4c7f3487d17fd42,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,,£37.34,£41.82,£4.48,5,34,
c7b5183f4d1d4efe,,Mystery,£44.10,£48.51,£4.41,4,24,15.0
99ff4cc6491e8f5c,The Mistake (Off-Campus #2),New Adult,£43.29,£43.72,£0.43,3,42,
08db62f24627e71f,The Matchmaker's Playbook (Wingmen Inc. #1),,£55.85,£63.67,£7.82,1,12,15.0
e28e330cbdf01126,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,,£37.60,£39.86,£2.26,2,18,15.0
,Thw Lo nShaodw of Smll Ghosts :Murdera nd eMmofy un an qAmerican Citty,,£10.97,£12.51,£1.54,1,36,15.0
eac1a180047ad54e,The Kite Runner,Default,£41.82,£45.58,£3.76,4,12,
9287e238d7c3b06e,The House by the Lake,Historical Fiction,,£36.95,£0.0,1,31,15.0
2dbb7ec08cdd7f3c,The Glittering Court (The Glittering Court #1),Fantasy,£44.28,£44.72,£0.44,1,19,15.0
,The Girl o hte rTrain,,£55.02,£58.32,£3.3,2,5,
42d0d7c92b75fc1c,The Genius of Birds,Nonfiction,£17.24,£17.24,£0.0,1,5,15.0
d6670dfe3e7b42bd,The Emerald Mystery,Default,£23.15,£24.08,£0.93,2,19,15.0
96a38e7c813d8f1d,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,,£41.25,£42.08,£0.83,1,29,
,The Bridge to Cojsciounsess: 'Inm Writinh teh Bridge Betsweekn Scisnce qand lOur Ol andNew nBeljidfs.,,£32.00,£33.28,£1.28,3,27,
,,,£38.49,£40.03,£1.54,5,31,15.0
,The Art of Wra,,,£35.01,£1.67,5,40,15.0
c99761a700ade23f,The Argonauts,,,£12.46,£1.53,2,23,15.0
56e4f9eab2e8e674,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Business,,£31.13,£3.58,3,22,15.0
203b7f94b7d6115f,Suddenly in Love (Lake Haven #1),Romance,£55.99,£58.79,£2.8,2,11,15.0
ca71e72655bece85,Something More Than This,Romance,£16.24,£16.56,£0.32,4,28,15.0
,Soft Apocalypse,,£26.12,£29.52,£3.4,2,5,15.0
1b33663ad7b95fd8,So You've Been Publicly Shamed,Nonfiction,£12.23,£12.84,£0.61,2,4,15.0
,,,£23.99,£26.39,£2.4,2,27,15.0
0c27e6c3744fc14b,,Add a comment,£29.06,£31.68,£2.62,3,25,
ad04ad9fc179fc5d,Secrets and Lace (Fatal Hearts #1),Default,£20.27,£22.09,£1.82,1,17,15.0
,Scatrplett Epwten Hats Iyt Here,,,£43.99,£0.44,5,6,15.0
e656e280bc8edd56,Romero and Juliet: A Tragic Tale of Love and Zombies,Default,£36.94,£40.63,£3.69,1,33,15.0
b53db2271c9624f7,Redeeming Love,Christian Fiction,£20.47,£23.13,£2.66,5,46,15.0
d9c643fa1fc57bdb,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,Default,,£45.17,£4.11,1,7,15.0
,Poems yThag Mka Gown Womrn Cry,,£14.19,£16.18,£1.99,4,18,15.0
50b8f80311b31ede,"Nightingale, Sing",Young Adult,£38.28,£40.58,£2.3,1,24,
cfeb1e1e0e695b58,Night Sky with Exit Wounds,Poetry,,£41.87,£0.82,1,12,15.0
a40723994f715420,,,£30.25,£31.46,£1.21,5,43,15.0
,Modern Romance,Add a comment,£28.26,£30.24,£1.98,5,41,15.0
,Mss Peregine’s Hmoe for Peucliar Cnildrne (Miss Psedegrnie’s loleculiar Childrn #1),,,£11.51,£0.75,1,13,15.0
d69dd8dac66f9f84,Louisa: The Extraordinary Life of Mrs. Adams,Biography,£16.85,£18.03,£1.18,2,43,15.0
4aa03792b50f0b22,Little Red,,,£15.22,£1.75,3,3,15.0
,,,£48.56,£49.05,£0.49,5,11,15.0
c1afd71fc86bf682,,Default,£19.15,£20.68,£1.53,2,41,15.0
fd8585283fc7d2d7,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Womens Fiction,£57.36,£62.52,£5.16,4,16,15.0
4ce91d31c1e57c33,,Fantasy,£42.98,£46.42,£3.44,1,40,
d163dd6c352fbcd2,Grumbles,Default,£22.16,£22.38,£0.22,2,45,15.0
,ull olMjn over oah’sAk: An Odyssey to Muont Ararat and Bseyod,,£49.43,£55.86,£6.43,4,10,15.0
116a2fdc9a45bab0,Frostbite (Vampire Academy #2),,£29.99,£31.79,£1.8,5,23,15.0
,Folowou Home,,£21.36,£23.92,£2.56,1,47,15.0
2f88b08bf0a0e367,First Steps for New Christians (Print Edition),Default,£29.00,£31.9,£2.9,1,24,
,Finders Keepers (Bill Hodges Trilogy #2),,£53.53,£54.6,£1.07,5,20,15.0
65d034adf80834b7,"Fables, Vol. 1: Legends in Exile (Fables #1)",Sequential Art,,£46.2,£4.58,4,15,15.0
29c0025455f8c585,,,£54.59,£59.5,£4.91,4,0,15.0
6ffb36aaeff1c81e,Drive: The Surprising Truth About What Motivates Us,,,£39.14,£4.19,4,34,15.0
f6d967cdadc6fbd9,Done Rubbed Out (Reightman & Bailey #1),,£37.72,£38.85,£1.13,5,5,15.0
3a11bb962ff45b78,,Romance,,£36.68,£1.07,3,11,
46c1530d7546ea6d,,Food and Drink,£42.16,£48.06,£5.9,3,2,15.0
88c21fcd38e2486e,Dark Notes,Erotica,£19.19,£20.53,£1.34,5,30,15.0
,"Dzrijng Greatoly uHow ts Courag to Be Vulnerable Tdanwforsm the Way WeL ige, oLove,P raent,and Lead",,£19.43,£21.76,£2.33,3,12,15.0
a57b1dcbd6849222,,,£49.46,£51.44,£1.98,4,20,15.0
513271dadc1322ae,Chasing Heaven: What Dying Taught Me About Living,Spirituality,£37.80,£43.47,£5.67,2,31,15.0
1f329c2e7d7de8bd,Big Magic: Creative Living Beyond Fear,Nonfiction,£30.80,£34.5,£3.7,3,49,15.0
,Becoming Wise: An Inquiry into the Mystery and Art of Living,Nonfiction,£27.43,£31.54,£4.11,2,20,15.0
,,Default,£11.11,£11.11,£0.0,2,44,15.0
,Batman: Th kLon gHaloween(Batman),,£36.50,£40.15,£3.65,2,5,15.0
47271d8e08b5d31c,,Sequential Art,,£16.3,£0.92,5,7,15.0
05f7c6d9a4e582d3,Ayumi's Violin,Default,£15.48,£17.03,£1.55,2,32,15.0
,Anknymous,,£46.82,£47.76,£0.94,4,41,
7ebfa6c1bee69e1e,Amy Meets the Saints and Sages,Default,£18.46,£19.01,£0.55,3,18,15.0
bb8245f52c7cce8f,Amid the Chaos,Cultural,£36.58,£39.51,£2.93,1,42,
ffd54178acc9a6a5,,Default,,£51.05,£0.51,5,25,15.0
d195e7f4ed697350,Agnostic: A Spirited Manifesto,Nonfiction,£12.51,£12.89,£0.38,5,24,15.0
dd5bfa6cc2c0ecc3,Zealot: The Life and Times of Jesus of Nazareth,,£24.70,£24.7,£0.0,3,3,14.0
024387ca4cafd5cc,You (You #1),,£43.61,£48.84,£5.23,5,22,
047097293bb4d1c0,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Sequential Art,£37.34,£39.58,£2.24,4,16,14.0
3fb15ace50d6142b,Wild Swans,,£14.36,£16.23,£1.87,2,44,14.0
2b5054a4192e9b06,,Politics,£52.65,£60.02,£7.37,4,3,14.0
,Whole oLtta Cretzivity Gokng On: 60 Fu an nsuua lExercises to Awsjekn ad wtrengthen our Creatifvify,,£38.20,£42.78,£4.58,4,34,
6fd646a334e6e133,What's It Like in Space?: Stories from Astronauts Who've Been There,Nonfiction,,£22.34,£2.74,2,29,14.0
92275cedf6d8ee15,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Sequential Art,£53.90,£59.83,£5.93,1,16,
,aeWaot iDsney's Alice inW ondelrand,,£12.96,£12.96,£0.0,5,21,14.0
4a1debca3135ff37,V for Vendetta (V for Vendetta Complete),Default,£37.10,£38.58,£1.48,4,36,14.0
aba2db9afb1469c7,,Young Adult,£46.31,£46.31,£0.0,2,1,14.0
76c84daa539426e2,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Default,£45.95,£46.41,£0.46,2,43,14.0
1d6443ffba9dfd80,,,£22.08,£23.63,£1.55,2,16,
6e44bcbeac7f4360,Through the Woods,Sequential Art,,£26.9,£1.52,2,46,14.0
f0f38174a7e689a3,,Young Adult,£27.12,£29.83,£2.71,2,39,14.0
34c0d7c4ee5650af,The Year of Magical Thinking,Nonfiction,£43.04,£43.9,£0.86,2,13,14.0
08b2f71d93836313,The Wright Brothers,Default,,£59.07,£2.27,4,15,
6875c5657661b2fb,The White Queen (The Cousins' War #1),,£25.91,£28.24,£2.33,5,48,14.0
c5cb9f885d8b3621,,Romance,£32.61,£35.87,£3.26,3,36,
e9906e2f0d189745,The Time Keeper,Fiction,£27.88,£30.67,£2.79,5,13,
081305e6df719dff,The Testament of Mary,Fiction,,£57.41,£4.74,4,25,14.0
1528279aec1f3dce,The Star-Touched Queen,Fantasy,£46.02,£51.54,£5.52,5,17,14.0
00c4543ec6bd25b4,,,£44.48,£46.26,£1.78,5,43,14.0
e88fb1c9397cfb27,The Song of Achilles,Add a comment,£37.40,£41.14,£3.74,5,43,14.0
012094e90a4b908d,The Rosie Project (Don Tillman #1),Default,£54.04,£57.28,£3.24,1,45,14.0
6bdd909329435e80,The Power of Habit: Why We Do What We Do in Life and Business,Default,£16.88,£18.57,£1.69,3,47,14.0
52cf2a5933ec5d8f,The Marriage of Opposites,Historical Fiction,,£29.48,£1.4,4,5,14.0
4e812d32d64e2431,The Lucifer Effect: Understanding How Good People Turn Evil,Psychology,£10.40,£11.44,£1.04,1,33,14.0
f21effc079a2b38a,The Long Haul (Diary of a Wimpy Kid #9),,£44.07,£44.95,£0.88,1,10,14.0
2d88a31f325dfd3b,,Horror,£23.40,£25.74,£2.34,1,35,
4881cc53f6c8892f,The Literature Book (Big Ideas Simply Explained),Nonfiction,£17.43,£18.82,£1.39,3,36,14.0
3bc89353f7e3a3cc,The Last Mile (Amos Decker #2),Mystery,£54.21,£57.46,£3.25,2,7,
f72f61ad6a5f12ed,The Immortal Life of Henrietta Lacks,Add a comment,£40.67,£42.3,£1.63,2,48,14.0
992974ba6a0536ea,,Fantasy,£52.26,£60.1,£7.84,2,37,14.0
,rhe grelp Yourelsf Cookboofor Kids: 6 0Easy Pplant-Based Recpes Kdis Can Mak to wStat eHalthy andav etje Ewath,,£28.77,£32.8,£4.03,3,48,14.0
847935fc68707426,The Guilty (Will Robie #4),Thriller,£13.82,£15.62,£1.8,2,49,
a86972014275e072,,Fiction,£25.85,£27.92,£2.07,3,16,14.0
3d76bc83c6b644c9,,Add a comment,£48.78,£55.61,£6.83,1,31,14.0
6edacfd1f8ebb9eb,The Darkest Lie,,£35.35,£38.18,£2.83,5,4,14.0
dc6f688b82e42a5b,The Bane Chronicles (The Bane Chronicles #1-11),Fantasy,£44.73,£46.52,£1.79,4,6,14.0
923831a05c9f91f7,,Nonfiction,£15.77,£17.82,£2.05,1,34,
,,,£39.24,£41.59,£2.35,1,22,14.0
0c7b9cf2b7662b65,That Darkness (Gardiner and Renner #1),,£13.92,£14.06,£0.14,1,36,14.0
2d1e337aaf341858,Tastes Like Fear (DI Marnie Rome #3),Mystery,£10.69,£11.22,£0.53,1,5,14.0
2c04320e110a14a3,Take Me with You,Fiction,£45.21,£47.92,£2.71,3,9,14.0
4c8b7540409da4ac,Swell: A Year of Waves,Nonfiction,£45.58,£45.58,£0.0,1,0,14.0
ac8e3949d284e9a9,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),,£11.89,£12.13,£0.24,5,33,14.0
fe44cc816576c652,Still Life with Bread Crumbs,Fiction,,£26.67,£0.26,3,8,14.0
95019eac1c0a052f,Steve Jobs,Default,£39.50,£42.66,£3.16,5,29,14.0
3edcccc4f341fb1a,Sorting the Beef from the Bull: The Science of Food Fraud Forensics,Science,£44.74,£48.77,£4.03,4,32,14.0
,Someone Lujke You (The Hratrions #2),,£52.79,£53.32,£0.53,5,6,
,"S lCute jt Hurts!!, ol. 6 (oS ute Iy uurts!!# 6)",,£35.43,£36.14,£0.71,4,4,14.0
830fb3967c74866d,Shtum,Fiction,£55.84,£61.98,£6.14,4,24,14.0
